generation,schedule,dose,vegfconc,vascular,time,converged_at
1,250,0.11,8.0,0.913885,12.0,
1,230,0.07,8.0,1.0,12.5,
2,250,0.11,8.0,0.913885,12.0,
2,210,0.09,8.0,1.0,12.25,
3,250,0.11,8.0,1.0,11.75,
4,250,0.11,8.0,1.0,11.75,
4,250,0.11,8.0,1.0,11.75,
5,330,0.2,8.0,1.0,9.75,
6,330,0.2,8.0,1.0,9.75,
7,330,0.2,8.0,1.0,9.75,
8,330,0.2,8.0,1.0,9.75,
8,330,0.2,8.0,1.0,9.75,
9,330,0.2,8.0,1.0,9.75,
9,330,0.2,8.0,1.0,9.75,
9,330,0.2,8.0,1.0,9.75,
10,330,0.2,8.0,1.0,9.75,
10,330,0.2,8.0,1.0,9.75,
10,330,0.2,8.0,1.0,9.75,
