schedule,dose,vegfconc,vascular,time
330,0.2,8.0,1.0,9.75
200,0.09,8.0,1.0,10.75
200,0.09,8.0,1.0,10.75
200,0.09,8.0,1.0,11.0
330,0.19,8.0,0.964583,10.75
330,0.19,8.0,0.964583,10.75
330,0.19,8.0,0.982292,11.0
330,0.19,8.0,0.982292,11.0
200,0.09,8.0,1.0,11.5
200,0.09,8.0,1.0,11.75
200,0.09,8.0,1.0,11.75
170,0.07,8.0,1.0,11.75
200,0.09,8.0,1.0,11.75
170,0.07,8.0,1.0,11.75
200,0.09,8.0,1.0,11.75
170,0.07,8.0,1.0,11.75
170,0.07,8.0,1.0,12.0
200,0.09,8.0,1.0,12.0
530,0.19,8.0,1.0,12.0
500,0.18,8.0,1.0,12.0
520,0.2,8.0,1.0,12.0
500,0.19,8.0,1.0,12.0
170,0.07,8.0,1.0,12.0
530,0.19,8.0,1.0,12.0
500,0.19,8.0,1.0,12.0
500,0.19,8.0,1.0,12.0
530,0.19,8.0,1.0,12.0
170,0.07,8.0,1.0,12.0
520,0.2,8.0,1.0,12.0
520,0.2,8.0,1.0,12.0
530,0.19,8.0,1.0,12.0
530,0.19,8.0,1.0,12.0
200,0.09,8.0,0.989583,11.75
200,0.09,8.0,0.989583,11.75
530,0.19,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
500,0.17,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
500,0.17,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
500,0.18,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
500,0.18,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
500,0.18,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
170,0.07,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
530,0.19,8.0,1.0,12.25
200,0.09,8.0,0.918034,12.0
5550,0.19,8.0,1.0,12.5
530,0.18,8.0,1.0,12.5
5550,0.19,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
530,0.19,8.0,1.0,12.5
530,0.18,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
530,0.18,8.0,1.0,12.5
530,0.18,8.0,1.0,12.5
500,0.18,8.0,1.0,12.5
530,0.17,8.0,1.0,12.5
530,0.18,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
5550,0.19,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
170,0.07,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
530,0.19,8.0,1.0,12.5
500,0.17,8.0,1.0,12.5
530,0.18,8.0,1.0,12.5
170,0.07,8.0,0.997917,12.25
530,0.17,8.0,1.0,12.75
170,0.07,8.0,0.986458,12.25
500,0.19,8.0,1.0,12.75
