generation,schedule,dose,vegfconc,vascular,time,converged_at
1,4320,0.18,8.0,1.0,13.0,
1,400,0.2,8.0,0.974008,11.5,
2,4320,0.18,8.0,1.0,13.0,
2,400,0.2,8.0,0.974008,11.5,
2,230,0.1,8.0,0.977127,12.0,
3,4320,0.18,8.0,1.0,13.0,
3,620,0.2,8.0,1.0,13.0,
3,4320,0.18,8.0,1.0,13.0,
3,630,0.2,8.0,1.0,13.0,
3,400,0.2,8.0,0.974008,11.5,
3,230,0.1,8.0,0.977127,12.0,
4,4320,0.18,8.0,1.0,13.0,
4,620,0.2,8.0,1.0,13.0,
4,4320,0.18,8.0,1.0,13.0,
4,630,0.2,8.0,1.0,13.0,
4,620,0.2,8.0,1.0,13.0,
4,400,0.2,8.0,0.974008,11.5,
4,230,0.1,8.0,0.977127,12.0,
5,400,0.2,8.0,0.974008,11.5,
5,230,0.1,8.0,1.0,11.75,
6,500,0.2,8.0,1.0,11.5,
7,230,0.18,8.0,1.0,8.75,
8,230,0.18,8.0,1.0,8.75,
9,230,0.18,8.0,1.0,8.75,
10,230,0.18,8.0,1.0,8.75,
10,230,0.18,8.0,1.0,8.75,
11,230,0.18,8.0,1.0,8.75,
11,230,0.18,8.0,1.0,8.75,
12,230,0.18,8.0,1.0,8.75,
12,230,0.18,8.0,1.0,8.75,
12,230,0.18,8.0,1.0,8.75,
