schedule,dose,vegfconc,vascular,time
450,0.2,8.0,1.0,11.25
450,0.2,8.0,1.0,11.25
450,0.2,8.0,1.0,11.25
450,0.17,8.0,1.0,12.0
450,0.17,8.0,1.0,12.0
450,0.2,8.0,1.0,12.0
550,0.2,8.0,1.0,12.25
450,0.16,8.0,1.0,12.25
550,0.2,8.0,1.0,12.25
450,0.16,8.0,1.0,12.25
550,0.2,8.0,1.0,12.25
550,0.19,8.0,1.0,12.5
550,0.2,8.0,1.0,12.5
550,0.18,8.0,1.0,12.5
450,0.2,8.0,1.0,12.5
550,0.19,8.0,1.0,12.5
550,0.18,8.0,1.0,12.5
550,0.18,8.0,1.0,12.5
550,0.19,8.0,1.0,12.5
550,0.18,8.0,1.0,12.5
550,0.19,8.0,1.0,12.5
450,0.2,8.0,1.0,12.5
550,0.19,8.0,1.0,12.5
550,0.19,8.0,1.0,12.5
450,0.2,8.0,1.0,12.5
550,0.19,8.0,1.0,12.5
550,0.19,8.0,1.0,12.5
550,0.2,8.0,1.0,12.5
550,0.19,8.0,1.0,12.5
550,0.18,8.0,1.0,12.75
550,0.19,8.0,1.0,12.75
550,0.19,8.0,1.0,12.75
550,0.18,8.0,1.0,12.75
550,0.18,8.0,1.0,12.75
550,0.17,8.0,1.0,12.75
450,0.18,8.0,1.0,12.75
550,0.19,8.0,1.0,12.75
450,0.2,8.0,0.958659,12.5
550,0.17,8.0,1.0,13.0
550,0.17,8.0,1.0,13.0
550,0.17,8.0,1.0,13.0
550,0.16,8.0,1.0,13.0
550,0.17,8.0,1.0,13.0
640,0.2,8.0,1.0,13.0
550,0.17,8.0,1.0,13.0
550,0.17,8.0,1.0,13.0
550,0.17,8.0,1.0,13.0
550,0.19,8.0,1.0,13.0
550,0.19,8.0,1.0,13.0
550,0.17,8.0,1.0,13.0
550,0.17,8.0,1.0,13.0
640,0.2,8.0,1.0,13.0
550,0.16,8.0,1.0,13.25
3920,0.09,8.0,1.0,13.25
550,0.2,8.0,1.0,13.25
550,0.16,8.0,1.0,13.25
550,0.2,8.0,1.0,13.25
550,0.16,8.0,1.0,13.25
550,0.16,8.0,1.0,13.25
550,0.2,8.0,1.0,13.25
650,0.2,8.0,1.0,13.25
550,0.2,8.0,1.0,13.25
450,0.16,8.0,1.0,13.25
550,0.16,8.0,1.0,13.5
450,0.16,8.0,1.0,13.5
550,0.16,8.0,1.0,13.5
640,0.19,8.0,1.0,13.5
640,0.19,8.0,1.0,13.5
650,0.19,8.0,1.0,13.5
550,0.2,8.0,1.0,13.5
550,0.19,8.0,1.0,13.5
650,0.19,8.0,1.0,13.5
450,0.16,8.0,1.0,13.5
550,0.2,8.0,1.0,13.5
550,0.2,8.0,1.0,13.5
550,0.19,8.0,1.0,13.5
550,0.19,8.0,1.0,13.5
550,0.19,8.0,1.0,13.5
550,0.19,8.0,1.0,13.5
550,0.19,8.0,1.0,13.5
640,0.19,8.0,1.0,13.5
640,0.2,8.0,1.0,13.5
550,0.18,8.0,1.0,13.5
750,0.2,8.0,1.0,13.75
650,0.19,8.0,1.0,13.75
750,0.2,8.0,1.0,13.75
550,0.2,8.0,1.0,13.75
850,0.2,8.0,1.0,13.75
650,0.19,8.0,1.0,13.75
550,0.19,8.0,1.0,13.75
550,0.18,8.0,1.0,13.75
700,0.2,8.0,1.0,13.75
550,0.18,8.0,1.0,13.75
650,0.19,8.0,1.0,13.75
550,0.18,8.0,1.0,13.75
650,0.19,8.0,1.0,13.75
550,0.19,8.0,1.0,14.0
450,0.17,8.0,0.933333,13.75
750,0.19,8.0,1.0,14.0
640,0.17,8.0,1.0,14.0
