generation,schedule,dose,vegfconc,vascular,time,converged_at
1,450,0.2,8.0,1.0,11.25,
1,450,0.2,8.0,1.0,11.25,
1,350,0.2,8.0,0.928359,10.75,
2,450,0.2,8.0,1.0,11.25,
2,450,0.2,8.0,1.0,11.25,
2,350,0.2,8.0,0.928359,10.75,
3,450,0.2,8.0,1.0,11.25,
3,450,0.2,8.0,1.0,11.25,
3,350,0.2,8.0,0.928359,10.75,
4,350,0.2,8.0,1.0,10.25,
5,350,0.2,8.0,1.0,10.25,
5,350,0.2,8.0,1.0,10.25,
6,350,0.2,8.0,1.0,10.25,
6,350,0.2,8.0,1.0,10.25,
7,350,0.2,8.0,1.0,10.25,
7,350,0.2,8.0,1.0,10.25,
8,350,0.2,8.0,1.0,10.25,
8,350,0.2,8.0,1.0,10.25,
9,350,0.2,8.0,1.0,10.25,
9,350,0.2,8.0,1.0,10.25,
