schedule,dose,vegfconc,vascular,time
330,0.2,8.0,1.0,9.75
330,0.2,8.0,1.0,9.75
330,0.2,8.0,1.0,9.75
210,0.11,8.0,1.0,10.25
230,0.1,8.0,1.0,10.75
230,0.1,8.0,1.0,10.75
230,0.1,8.0,1.0,10.75
250,0.15,8.0,0.923073,10.5
250,0.11,8.0,1.0,11.0
210,0.09,8.0,1.0,11.0
5790,0.09,8.0,1.0,11.5
5790,0.09,8.0,1.0,11.5
210,0.11,8.0,0.977127,11.0
250,0.11,8.0,1.0,11.75
250,0.11,8.0,1.0,11.75
250,0.11,8.0,1.0,11.75
250,0.11,8.0,1.0,11.75
250,0.11,8.0,1.0,11.75
280,0.13,8.0,1.0,11.75
250,0.11,8.0,1.0,11.75
250,0.11,8.0,1.0,11.75
250,0.11,8.0,1.0,11.75
250,0.11,8.0,1.0,11.75
410,0.2,8.0,1.0,11.75
250,0.12,8.0,0.983364,11.5
430,0.15,8.0,1.0,12.0
430,0.15,8.0,1.0,12.0
430,0.15,8.0,1.0,12.0
210,0.09,8.0,1.0,12.0
430,0.15,8.0,1.0,12.0
210,0.09,8.0,1.0,12.0
430,0.15,8.0,1.0,12.0
210,0.09,8.0,1.0,12.0
280,0.13,8.0,1.0,12.0
430,0.15,8.0,1.0,12.0
210,0.09,8.0,1.0,12.0
210,0.09,8.0,1.0,12.0
250,0.11,8.0,1.0,12.0
250,0.12,8.0,0.976042,11.75
210,0.09,8.0,1.0,12.25
210,0.09,8.0,1.0,12.25
210,0.09,8.0,1.0,12.25
210,0.09,8.0,1.0,12.25
230,0.09,8.0,1.0,12.25
210,0.09,8.0,1.0,12.25
230,0.09,8.0,1.0,12.25
230,0.09,8.0,1.0,12.25
230,0.09,8.0,1.0,12.25
430,0.15,8.0,1.0,12.25
230,0.09,8.0,1.0,12.25
230,0.09,8.0,1.0,12.25
210,0.09,8.0,1.0,12.25
230,0.09,8.0,1.0,12.25
230,0.1,8.0,1.0,12.25
210,0.09,8.0,1.0,12.25
210,0.09,8.0,1.0,12.25
250,0.11,8.0,0.997917,12.0
410,0.2,8.0,0.917402,11.75
410,0.2,8.0,0.917402,11.75
230,0.07,8.0,1.0,12.5
210,0.08,8.0,1.0,12.5
210,0.08,8.0,1.0,12.5
230,0.07,8.0,1.0,12.5
210,0.08,8.0,1.0,12.5
430,0.15,8.0,1.0,12.5
230,0.07,8.0,1.0,12.5
430,0.15,8.0,1.0,12.5
230,0.09,8.0,1.0,12.5
210,0.08,8.0,1.0,12.5
510,0.2,8.0,1.0,12.5
230,0.09,8.0,1.0,12.5
230,0.07,8.0,1.0,12.5
230,0.09,8.0,1.0,12.5
230,0.09,8.0,1.0,12.5
210,0.09,8.0,0.982324,12.0
250,0.11,8.0,0.996875,12.25
280,0.1,8.0,1.0,12.75
250,0.09,8.0,1.0,12.75
230,0.09,8.0,1.0,12.75
250,0.09,8.0,1.0,12.75
230,0.09,8.0,1.0,12.75
230,0.09,8.0,1.0,12.75
250,0.09,8.0,1.0,12.75
210,0.08,8.0,0.997917,12.5
250,0.11,8.0,0.944902,12.0
250,0.11,8.0,0.960417,12.25
250,0.09,8.0,1.0,13.0
250,0.11,8.0,0.936706,12.0
230,0.09,8.0,0.984403,12.5
250,0.11,8.0,0.9375,12.25
230,0.09,8.0,0.992708,12.75
5790,0.09,8.0,1.0,13.0
5790,0.09,8.0,1.0,13.0
5790,0.09,8.0,1.0,13.0
310,0.09,8.0,1.0,13.0
310,0.09,8.0,1.0,13.0
210,0.07,8.0,1.0,13.0
310,0.09,8.0,1.0,13.0
5790,0.09,8.0,1.0,13.0
310,0.09,8.0,1.0,13.0
