schedule,dose,vegfconc,vascular,time
330,0.2,8.0,1.0,9.75
380,0.16,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.16,8.0,1.0,11.0
430,0.2,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
430,0.2,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.16,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.17,8.0,1.0,11.0
380,0.16,8.0,1.0,11.25
380,0.17,8.0,1.0,11.25
380,0.2,8.0,1.0,11.25
380,0.17,8.0,1.0,11.25
480,0.2,8.0,1.0,11.5
480,0.2,8.0,1.0,11.5
380,0.16,8.0,1.0,11.5
480,0.2,8.0,1.0,11.5
380,0.16,8.0,1.0,11.5
480,0.2,8.0,1.0,11.5
480,0.2,8.0,1.0,11.5
380,0.16,8.0,1.0,11.5
380,0.16,8.0,1.0,11.5
480,0.2,8.0,1.0,11.5
480,0.2,8.0,1.0,11.5
380,0.2,8.0,0.983333,11.25
430,0.17,8.0,1.0,11.75
380,0.2,8.0,0.95625,11.25
380,0.13,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.13,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.13,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
540,0.2,8.0,1.0,12.0
380,0.13,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.13,8.0,1.0,12.0
380,0.13,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.13,8.0,1.0,12.0
380,0.17,8.0,1.0,12.0
380,0.13,8.0,1.0,12.0
380,0.2,8.0,0.922383,11.25
380,0.17,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
380,0.16,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
540,0.2,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
540,0.2,8.0,1.0,12.25
540,0.2,8.0,1.0,12.25
380,0.16,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
480,0.17,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
540,0.2,8.0,1.0,12.25
380,0.16,8.0,1.0,12.25
210,0.06,8.0,1.0,12.25
380,0.16,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
380,0.16,8.0,1.0,12.25
380,0.17,8.0,1.0,12.25
380,0.13,8.0,1.0,12.25
430,0.2,8.0,0.997917,12.0
380,0.2,8.0,0.909559,11.5
480,0.2,8.0,1.0,12.5
380,0.2,8.0,0.904362,11.5
380,0.17,8.0,0.996877,12.0
210,0.06,8.0,1.0,12.5
210,0.06,8.0,1.0,12.5
210,0.06,8.0,1.0,12.5
210,0.06,8.0,1.0,12.5
380,0.13,8.0,1.0,12.5
