schedule,dose,vegfconc,vascular,time
6260,0.07,8.0,1.0,12.5
6260,0.07,8.0,1.0,12.5
6260,0.07,8.0,1.0,12.5
6260,0.07,8.0,1.0,12.5
6260,0.07,8.0,1.0,12.5
6260,0.07,8.0,1.0,12.5
6260,0.07,8.0,1.0,12.5
6260,0.07,8.0,1.0,12.5
6260,0.07,8.0,1.0,12.5
6340,0.03,8.0,1.0,13.25
6340,0.03,8.0,1.0,13.25
6340,0.03,8.0,1.0,13.25
6340,0.03,8.0,1.0,13.25
6340,0.03,8.0,1.0,13.25
6340,0.03,8.0,1.0,13.25
6340,0.03,8.0,1.0,13.25
6340,0.03,8.0,1.0,13.25
6340,0.03,8.0,1.0,13.25
6310,0.2,8.0,1.0,15.0
6390,0.01,8.0,1.0,15.5
4430,0.16,8.0,1.0,16.25
4430,0.16,8.0,1.0,16.25
4430,0.16,8.0,1.0,16.25
6340,0.03,8.0,1.0,16.25

