schedule,dose,vegfconc,vascular,time
970,1.47,8.0,0.986482,8.25
1070,1.28,8.0,1.0,8.75
970,1.47,8.0,0.766554,8.25
970,1.37,8.0,0.882539,8.5
1070,1.47,8.0,0.995838,8.75
1170,1.19,8.0,1.0,9.5
970,1.4,8.0,0.822591,8.5
970,1.4,8.0,0.822591,8.5
970,1.4,8.0,0.822591,8.5
970,1.4,8.0,0.822591,8.5
1070,1.28,8.0,0.992708,9.0
970,1.15,8.0,0.891719,8.75
970,1.4,8.0,0.80181,8.5
1070,1.28,8.0,0.95625,9.0
820,0.82,8.0,0.980245,9.25
1070,1.28,8.0,0.979206,9.25
920,0.75,8.0,0.95625,10.0
920,0.75,8.0,0.95625,10.0
920,0.75,8.0,0.95625,10.0
920,0.75,8.0,0.95625,10.0
920,0.75,8.0,0.95625,10.0
1070,1.28,8.0,0.886955,9.5
1070,0.89,8.0,0.954258,10.0
970,0.89,8.0,0.846942,9.75
920,0.75,8.0,0.952266,10.0
920,0.75,8.0,0.952266,10.0
970,0.81,8.0,0.950273,10.0
1170,1.15,8.0,0.948281,10.0
920,0.75,8.0,0.948203,10.0
970,0.81,8.0,0.913418,10.0
970,0.81,8.0,0.895525,10.0
1070,0.89,8.0,0.86928,10.25
1070,0.89,8.0,0.86928,10.25
1070,0.89,8.0,0.86928,10.25
1170,1.15,8.0,0.86928,10.25
1070,0.89,8.0,0.867461,10.25
1070,0.89,8.0,0.867461,10.25
1070,0.89,8.0,0.867461,10.25
1070,0.89,8.0,0.867461,10.25
1070,0.89,8.0,0.867461,10.25
970,0.75,8.0,0.858368,10.25
970,0.75,8.0,0.858368,10.25
1170,1.15,8.0,0.854731,10.25
1070,0.89,8.0,0.843819,10.25
920,0.75,8.0,0.835636,10.25
920,0.75,8.0,0.820178,10.25
920,0.75,8.0,0.820178,10.25
920,0.75,8.0,0.820178,10.25
920,0.75,8.0,0.820178,10.25
1070,0.89,8.0,0.771489,10.25
970,0.75,8.0,0.768199,10.25
970,0.75,8.0,0.768199,10.25
970,0.75,8.0,0.766554,10.25
970,0.75,8.0,0.766554,10.25
970,0.81,8.0,0.756684,10.25
820,0.77,8.0,0.733654,99999.0
1070,1.47,8.0,0.729219,99999.0
1510,1.83,8.0,0.725323,99999.0
1510,1.83,8.0,0.703509,99999.0
1070,0.81,8.0,0.685651,99999.0
1010,0.74,8.0,0.679766,99999.0
1070,0.81,8.0,0.676823,99999.0
1170,1.15,8.0,0.65707,99999.0
1170,1.15,8.0,0.65707,99999.0
1070,1.28,8.0,0.64352,99999.0
1070,1.28,8.0,0.64352,99999.0
1070,1.47,8.0,0.610612,99999.0
1070,1.47,8.0,0.610612,99999.0
1070,0.89,8.0,0.605462,99999.0
1070,1.47,8.0,0.590749,99999.0
1510,1.28,8.0,0.587878,99999.0
1510,1.28,8.0,0.587878,99999.0
970,0.65,8.0,0.583984,99999.0
1660,1.83,8.0,0.576198,99999.0
1660,1.83,8.0,0.576198,99999.0
1660,1.83,8.0,0.576198,99999.0
1660,1.83,8.0,0.576198,99999.0
1660,1.83,8.0,0.576198,99999.0
970,0.81,8.0,0.561322,99999.0
1070,1.28,8.0,0.549251,99999.0
1070,1.28,8.0,0.549251,99999.0
1070,1.28,8.0,0.541328,99999.0
1510,1.83,8.0,0.536617,99999.0
1270,1.22,8.0,0.535573,99999.0
1070,1.47,8.0,0.535117,99999.0
970,0.81,8.0,0.519388,99999.0
1070,1.28,8.0,0.505386,99999.0
1070,0.75,8.0,0.503611,99999.0
1170,0.81,8.0,0.502487,99999.0
1070,1.28,8.0,0.502452,99999.0
1070,0.75,8.0,0.499115,99999.0
1070,0.75,8.0,0.499115,99999.0
1070,0.75,8.0,0.499115,99999.0
1070,0.75,8.0,0.499115,99999.0
1070,0.75,8.0,0.499115,99999.0
1510,1.47,8.0,0.497684,99999.0
1510,1.28,8.0,0.493494,99999.0
1070,0.75,8.0,0.493494,99999.0
1510,1.28,8.0,0.493494,99999.0
1070,1.47,8.0,0.493338,99999.0
