generation,schedule,dose,vegfconc,vascular,time,converged_at
1,1110,0.81,8.0,0.0455469,99999.0,
2,2110,3.21,8.0,0.186484,99999.0,
3,2110,3.21,8.0,0.186484,99999.0,
4,2110,3.21,8.0,0.186484,99999.0,
5,2110,3.21,8.0,0.186484,99999.0,
6,1510,1.28,8.0,0.493494,99999.0,
7,970,0.65,8.0,0.583984,99999.0,
8,970,0.65,8.0,0.583984,99999.0,
9,920,0.75,8.0,0.95625,10.0,
10,920,0.75,8.0,0.95625,10.0,
10,920,0.75,8.0,0.95625,10.0,
11,1070,1.28,8.0,0.992708,9.0,
12,1070,1.28,8.0,0.992708,9.0,
12,970,1.47,8.0,0.986482,8.25,
13,970,1.47,8.0,0.986482,8.25,
13,1070,1.47,8.0,0.995838,8.75,
14,970,1.47,8.0,0.986482,8.25,
14,1070,1.47,8.0,0.995838,8.75,
15,970,1.47,8.0,0.986482,8.25,
15,1070,1.28,8.0,1.0,8.75,
16,970,1.47,8.0,0.986482,8.25,
16,1070,1.28,8.0,1.0,8.75,
17,970,1.47,8.0,0.986482,8.25,
17,1070,1.28,8.0,1.0,8.75,
