schedule,dose,vegfconc,vascular,time
1100,1.16,8.0,1.0,9.25
1100,1.16,8.0,1.0,9.25
1100,1.16,8.0,1.0,9.25
1100,1.16,8.0,1.0,9.25
1100,1.16,8.0,1.0,9.25
1100,1.16,8.0,1.0,9.25
1100,1.16,8.0,1.0,9.25
1000,1.16,8.0,0.912422,9.0
1100,1.16,8.0,1.0,9.5
1100,1.16,8.0,1.0,9.5
1100,1.16,8.0,1.0,9.5
1100,1.16,8.0,1.0,9.5
1100,1.16,8.0,0.996875,9.25
1100,1.43,8.0,0.894492,9.0
1100,1.43,8.0,0.894492,9.0
1100,1.43,8.0,0.894492,9.0
1100,1.43,8.0,0.894492,9.0
1100,1.05,8.0,1.0,9.75
1100,1.05,8.0,1.0,9.75
1100,1.05,8.0,1.0,9.75
1100,1.16,8.0,0.99375,9.25
1100,1.16,8.0,0.99375,9.25
1100,1.16,8.0,0.99375,9.25
1100,1.5,8.0,0.821875,9.0
1100,1.16,8.0,0.997917,9.75
1100,1.16,8.0,0.992708,9.25
1100,1.25,8.0,0.992708,9.25
1050,1.37,8.0,0.812201,9.0
1100,1.16,8.0,0.995838,9.75
1100,1.05,8.0,0.995838,9.75
1100,1.16,8.0,0.995838,9.75
1150,1.16,8.0,0.995838,9.75
1100,1.16,8.0,0.986458,9.25
1100,1.16,8.0,0.992708,9.5
1100,1.16,8.0,0.994798,9.75
1000,1.04,8.0,0.912678,9.25
1150,1.25,8.0,0.9875,9.5
1150,1.25,8.0,0.9875,9.5
1150,1.25,8.0,0.9875,9.5
1150,1.25,8.0,0.9875,9.5
1150,1.25,8.0,0.9875,9.5
1100,1.05,8.0,0.991684,9.75
1050,1.16,8.0,0.909375,9.25
1100,1.16,8.0,0.986458,9.5
1100,1.16,8.0,0.986458,9.5
1100,1.16,8.0,0.908867,9.25
1100,1.16,8.0,0.908867,9.25
1050,1.16,8.0,0.908867,9.25
1100,1.16,8.0,0.908867,9.25
1100,1.16,8.0,0.908867,9.25
1360,1.5,8.0,0.98125,9.75
1100,1.05,8.0,0.98125,9.75
1360,1.5,8.0,0.98125,9.75
1360,1.5,8.0,0.98125,9.75
1100,1.16,8.0,0.96875,9.5
1100,1.05,8.0,0.975,9.75
1100,1.16,8.0,0.966667,9.5
1100,1.05,8.0,0.971875,9.75
1100,1.05,8.0,0.971875,9.75
1100,1.16,8.0,0.95625,9.5
1100,1.16,8.0,0.95625,9.5
1100,1.16,8.0,0.95625,9.5
1100,1.16,8.0,0.95625,9.5
1100,1.05,8.0,0.954258,10.0
1100,1.16,8.0,0.911426,9.5
1100,1.05,8.0,0.91541,10.0
1100,1.05,8.0,0.91541,10.0
1100,1.16,8.0,0.906962,9.75
1360,1.5,8.0,0.871712,9.75
1360,1.5,8.0,0.871712,9.75
1100,1.16,8.0,0.900293,10.0
1100,1.16,8.0,0.861762,9.75
1100,1.16,8.0,0.89553,10.0
1100,1.16,8.0,0.859277,9.75
1100,1.16,8.0,0.892671,10.0
1100,1.16,8.0,0.892671,10.0
1100,1.16,8.0,0.892671,10.0
1100,1.16,8.0,0.892671,10.0
1100,1.16,8.0,0.892671,10.0
1100,1.16,8.0,0.854731,9.75
1100,1.16,8.0,0.872665,10.0
1100,1.16,8.0,0.850184,9.75
1100,1.16,8.0,0.865996,10.0
1100,1.16,8.0,0.843819,9.75
1100,1.16,8.0,0.86028,10.0
1000,1.04,8.0,0.841092,9.75
1000,1.04,8.0,0.841092,9.75
1100,1.16,8.0,0.851706,10.0
1100,0.89,8.0,0.860187,10.25
1100,0.89,8.0,0.860187,10.25
1100,1.16,8.0,0.838887,9.75
1150,1.25,8.0,0.819128,9.75
1200,1.19,8.0,0.832908,10.25
1100,1.25,8.0,0.801083,9.75
1360,1.5,8.0,0.808737,10.0
1360,1.5,8.0,0.808737,10.0
1360,1.5,8.0,0.808737,10.0
1360,1.5,8.0,0.771489,9.75
1100,1.16,8.0,0.781029,10.0
1360,1.5,8.0,0.771489,9.75
