schedule,dose,vegfconc,vascular,time
1270,1.38,8.0,0.997917,9.75
1270,1.38,8.0,0.984375,9.75
1270,1.38,8.0,0.973958,9.75
1270,1.38,8.0,0.902083,9.75
1270,1.38,8.0,0.902083,9.75
1270,1.38,8.0,0.902083,9.75
1070,1.07,8.0,0.852658,10.0
1270,1.38,8.0,0.829794,10.0
1270,1.38,8.0,0.754186,10.0
1220,0.99,8.0,0.771489,10.25
1270,0.99,8.0,0.769844,10.25
1270,0.99,8.0,0.68418,99999.0
1270,0.99,8.0,0.681237,99999.0
1270,0.99,8.0,0.678294,99999.0
1270,0.99,8.0,0.675352,99999.0
1270,0.99,8.0,0.670937,99999.0
1270,0.99,8.0,0.585282,99999.0
1270,0.99,8.0,0.582031,99999.0
1270,0.99,8.0,0.581389,99999.0
1020,0.99,8.0,0.551589,99999.0
1270,1.38,8.0,0.543019,99999.0
1270,1.38,8.0,0.54146,99999.0
1270,0.99,8.0,0.484501,99999.0
1270,0.99,8.0,0.460332,99999.0
1270,0.99,8.0,0.450777,99999.0
1270,0.99,8.0,0.441784,99999.0
1270,0.99,8.0,0.441784,99999.0
1270,0.99,8.0,0.440638,99999.0
1270,0.99,8.0,0.440638,99999.0
1270,0.99,8.0,0.440638,99999.0
1370,1.02,8.0,0.413477,99999.0
1270,1.38,8.0,0.405122,99999.0
1270,1.38,8.0,0.37375,99999.0
1270,1.38,8.0,0.349093,99999.0
1220,0.84,8.0,0.330964,99999.0
1220,0.84,8.0,0.330964,99999.0
1220,0.84,8.0,0.330964,99999.0
1270,1.38,8.0,0.330924,99999.0
1270,1.38,8.0,0.323292,99999.0
1270,1.38,8.0,0.323292,99999.0
1890,2.28,8.0,0.313095,99999.0
1890,2.28,8.0,0.313095,99999.0
1890,2.28,8.0,0.313095,99999.0
1370,1.27,8.0,0.294505,99999.0
1920,2.86,8.0,0.280853,99999.0
1270,1.38,8.0,0.27043,99999.0
1270,1.38,8.0,0.258212,99999.0
1070,1.07,8.0,0.252368,99999.0
1170,0.76,8.0,0.250972,99999.0
1480,0.99,8.0,0.243129,99999.0
1480,0.99,8.0,0.243129,99999.0
1270,1.38,8.0,0.238066,99999.0
1890,2.28,8.0,0.238001,99999.0
1270,2.28,8.0,0.230495,99999.0
1220,1.38,8.0,0.210178,99999.0
1270,0.99,8.0,0.194616,99999.0
1270,1.38,8.0,0.194284,99999.0
1270,1.38,8.0,0.190349,99999.0
1270,0.99,8.0,0.189566,99999.0
1270,0.99,8.0,0.187624,99999.0
1270,0.99,8.0,0.177524,99999.0
1270,0.99,8.0,0.177524,99999.0
1270,0.99,8.0,0.177524,99999.0
1270,0.99,8.0,0.177135,99999.0
1020,0.99,8.0,0.171879,99999.0
1270,0.99,8.0,0.168201,99999.0
1270,0.99,8.0,0.166875,99999.0
1270,0.99,8.0,0.164944,99999.0
1920,3.21,8.0,0.159414,99999.0
1270,0.99,8.0,0.158878,99999.0
1270,0.99,8.0,0.15577,99999.0
1270,1.38,8.0,0.137763,99999.0
1970,2.86,8.0,0.135566,99999.0
1270,1.38,8.0,0.131647,99999.0
1890,2.17,8.0,0.127832,99999.0
1690,1.86,8.0,0.124475,99999.0
1170,0.97,8.0,0.122917,99999.0
1270,0.99,8.0,0.122771,99999.0
1270,0.99,8.0,0.11161,99999.0
1270,0.99,8.0,0.1098,99999.0
1270,0.99,8.0,0.10931,99999.0
1270,0.99,8.0,0.108895,99999.0
1270,0.99,8.0,0.108895,99999.0
1220,0.99,8.0,0.106181,99999.0
1270,0.99,8.0,0.104069,99999.0
1890,2.28,8.0,0.102051,99999.0
1270,0.99,8.0,0.101224,99999.0
1270,0.99,8.0,0.100751,99999.0
1270,0.99,8.0,0.100751,99999.0
1270,0.99,8.0,0.0994271,99999.0
1270,1.38,8.0,0.0980317,99999.0
1270,0.99,8.0,0.0977344,99999.0
1270,0.99,8.0,0.0944162,99999.0
1270,0.99,8.0,0.0934375,99999.0
1270,0.99,8.0,0.0904427,99999.0
2010,2.65,8.0,0.083737,99999.0
1970,2.86,8.0,0.0827279,99999.0
1220,0.99,8.0,0.0754687,99999.0
1270,2.28,8.0,0.071033,99999.0
1270,2.28,8.0,0.071033,99999.0
