generation,schedule,dose,vegfconc,vascular,time,converged_at
1,1330,2.29,8.0,0.194616,99999.0,
2,1330,2.29,8.0,0.194616,99999.0,
3,1330,1.23,8.0,0.954167,10.0,
4,1330,1.23,8.0,0.954167,10.0,
5,1330,1.23,8.0,0.954167,10.0,
6,1330,1.23,8.0,0.954167,10.0,
7,1330,1.23,8.0,0.954167,10.0,
7,1330,1.23,8.0,0.954167,10.0,
8,1330,1.23,8.0,0.954167,10.0,
8,1330,1.23,8.0,0.954167,10.0,
8,1080,1.23,8.0,0.819269,9.75,
9,1330,1.23,8.0,0.954167,10.0,
9,1330,1.23,8.0,0.954167,10.0,
9,1330,1.23,8.0,0.954167,10.0,
9,1080,1.12,8.0,0.912678,9.75,
10,1330,1.23,8.0,0.954167,10.0,
10,1330,1.23,8.0,0.954167,10.0,
10,1330,1.23,8.0,0.954167,10.0,
10,1280,1.31,8.0,0.9375,9.75,
10,1080,1.23,8.0,0.886955,9.5,
11,1030,1.34,8.0,0.995838,8.75,
11,1080,1.25,8.0,1.0,9.0,
12,1030,1.34,8.0,0.995838,8.75,
12,1080,1.25,8.0,1.0,9.0,
13,1030,1.34,8.0,0.995838,8.75,
13,1080,1.25,8.0,1.0,9.0,
13,1080,1.25,8.0,1.0,9.0,
14,1030,1.34,8.0,0.995838,8.75,
14,1080,1.25,8.0,1.0,9.0,
14,1080,1.25,8.0,1.0,9.0,
14,1080,1.25,8.0,1.0,9.0,
15,1030,1.34,8.0,0.995838,8.75,
15,1030,1.34,8.0,0.995838,8.75,
15,1080,1.25,8.0,1.0,9.0,
15,1080,1.25,8.0,1.0,9.0,
15,1080,1.25,8.0,1.0,9.0,
15,1080,1.25,8.0,1.0,9.0,
16,1030,1.34,8.0,0.995838,8.75,
16,1030,1.34,8.0,0.995838,8.75,
16,1080,1.25,8.0,1.0,9.0,
16,1080,1.25,8.0,1.0,9.0,
16,1080,1.25,8.0,1.0,9.0,
16,1080,1.25,8.0,1.0,9.0,
16,1080,1.25,8.0,1.0,9.0,
