schedule,dose,vegfconc,vascular,time
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1170,1.42,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1170,1.42,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1090,1.16,8.0,1.0,9.25
1040,1.46,8.0,0.776424,8.75
1090,1.29,8.0,0.998958,9.0
1090,1.29,8.0,0.998958,9.0
1090,1.08,8.0,1.0,9.5
1290,1.44,8.0,1.0,9.5
1290,1.44,8.0,1.0,9.5
1090,1.08,8.0,1.0,9.5
1290,1.44,8.0,1.0,9.5
1090,1.08,8.0,1.0,9.5
1220,1.29,8.0,1.0,9.5
1290,1.44,8.0,1.0,9.5
1290,1.44,8.0,1.0,9.5
1090,1.29,8.0,0.99168,9.25
1090,1.29,8.0,0.952266,9.0
1270,1.29,8.0,1.0,9.75
1190,1.22,8.0,1.0,9.75
1220,1.29,8.0,0.995833,9.5
1220,1.29,8.0,0.995833,9.5
1220,1.29,8.0,0.995833,9.5
1090,1.16,8.0,0.9875,9.25
1090,1.16,8.0,0.9875,9.25
1090,1.16,8.0,0.9875,9.25
1320,1.46,8.0,0.996875,10.0
1320,1.46,8.0,0.996875,10.0
1090,1.08,8.0,0.988561,9.75
1090,1.08,8.0,0.988561,9.75
1090,1.08,8.0,0.98125,9.5
1090,1.16,8.0,0.976042,9.25
1090,1.29,8.0,0.972969,9.25
1090,1.29,8.0,0.860187,9.25
1090,1.29,8.0,0.860187,9.25
1090,1.16,8.0,0.95625,9.5
1090,1.16,8.0,0.95625,9.5
1090,1.16,8.0,0.95625,9.5
1220,1.21,8.0,0.95625,10.0
1220,1.21,8.0,0.95625,10.0
1220,1.21,8.0,0.95625,10.0
1270,1.29,8.0,0.95625,10.0
1090,1.16,8.0,0.936328,9.5
1090,1.16,8.0,0.936328,9.5
1320,1.29,8.0,0.954258,10.0
1320,1.29,8.0,0.954258,10.0
1320,1.29,8.0,0.954258,10.0
1320,1.29,8.0,0.954258,10.0
1320,1.29,8.0,0.954258,10.0
1290,1.22,8.0,0.954258,10.0
1320,1.29,8.0,0.954258,10.0
1090,1.16,8.0,0.930482,9.75
1090,1.16,8.0,0.898477,9.5
1090,1.16,8.0,0.898477,9.5
1090,1.16,8.0,0.898477,9.5
1290,1.44,8.0,0.893624,9.75
1320,1.44,8.0,0.752572,9.75
1090,1.16,8.0,0.880286,10.0
1090,1.16,8.0,0.876476,10.0
1320,1.29,8.0,0.865642,10.25
1320,1.29,8.0,0.865642,10.25
1320,1.29,8.0,0.865642,10.25
1320,1.29,8.0,0.865642,10.25
1320,1.29,8.0,0.865642,10.25
1320,1.29,8.0,0.865642,10.25
1090,1.16,8.0,0.847895,10.0
1320,1.29,8.0,0.863824,10.25
1090,1.16,8.0,0.79645,10.0
1320,1.16,8.0,0.862005,10.25
1320,1.29,8.0,0.862005,10.25
1090,1.16,8.0,0.758516,10.0
1320,1.29,8.0,0.860187,10.25
1320,1.16,8.0,0.860187,10.25
1090,1.16,8.0,0.752454,10.0
810,0.54,8.0,0.858368,10.25
810,0.54,8.0,0.858368,10.25
1290,1.16,8.0,0.858368,10.25
810,0.54,8.0,0.858368,10.25
1320,1.29,8.0,0.83018,10.25
