generation,schedule,dose,vegfconc,vascular,time,converged_at
1,1360,1.5,8.0,0.50026,99999.0,
2,1350,1.81,8.0,0.736003,99999.0,
3,1360,1.5,8.0,0.771489,9.75,
3,1360,1.5,8.0,0.808737,10.0,
4,1100,1.16,8.0,0.95625,9.5,
5,1100,1.16,8.0,0.95625,9.5,
6,1100,1.16,8.0,0.95625,9.5,
6,1100,1.5,8.0,0.821875,9.0,
7,1100,1.5,8.0,0.821875,9.0,
7,1100,1.16,8.0,1.0,9.5,
8,1100,1.5,8.0,0.821875,9.0,
8,1100,1.16,8.0,1.0,9.5,
8,1000,1.04,8.0,0.912678,9.25,
9,1100,1.5,8.0,0.821875,9.0,
9,1100,1.16,8.0,1.0,9.5,
9,1000,1.04,8.0,0.912678,9.25,
10,1100,1.5,8.0,0.821875,9.0,
10,1100,1.16,8.0,1.0,9.25,
11,1100,1.16,8.0,1.0,9.25,
11,1100,1.43,8.0,0.894492,9.0,
12,1100,1.16,8.0,1.0,9.25,
12,1100,1.43,8.0,0.894492,9.0,
13,1100,1.16,8.0,1.0,9.25,
13,1100,1.16,8.0,1.0,9.25,
13,1000,1.16,8.0,0.912422,9.0,
14,1100,1.16,8.0,1.0,9.25,
14,1100,1.16,8.0,1.0,9.25,
14,1100,1.16,8.0,1.0,9.25,
14,1000,1.16,8.0,0.912422,9.0,
15,1100,1.16,8.0,1.0,9.25,
15,1100,1.16,8.0,1.0,9.25,
15,1100,1.16,8.0,1.0,9.25,
15,1100,1.16,8.0,1.0,9.25,
15,1100,1.16,8.0,1.0,9.25,
15,1000,1.16,8.0,0.912422,9.0,
16,1100,1.16,8.0,1.0,9.25,
16,1100,1.16,8.0,1.0,9.25,
16,1100,1.16,8.0,1.0,9.25,
16,1100,1.16,8.0,1.0,9.25,
16,1100,1.16,8.0,1.0,9.25,
16,1100,1.16,8.0,1.0,9.25,
16,1100,1.16,8.0,1.0,9.25,
16,1000,1.16,8.0,0.912422,9.0,
