generation,schedule,dose,vegfconc,vascular,time,converged_at
1,650,0.38,8.0,0.154514,99999.0,
2,650,0.38,8.0,0.154514,99999.0,
3,650,0.69,8.0,0.369336,99999.0,
4,650,0.69,8.0,0.369336,99999.0,
5,1240,1.15,8.0,0.860187,10.25,
6,960,1.22,8.0,0.993759,8.75,
6,650,0.69,8.0,0.95625,8.5,
7,960,1.22,8.0,0.993759,8.75,
7,650,0.69,8.0,0.95625,8.5,
7,650,0.69,8.0,0.95625,8.5,
8,960,1.22,8.0,0.993759,8.75,
8,650,0.69,8.0,0.95625,8.5,
8,650,0.69,8.0,0.95625,8.5,
8,1240,1.22,8.0,1.0,9.75,
8,1240,1.15,8.0,1.0,9.75,
8,1240,1.15,8.0,1.0,9.75,
8,650,0.69,8.0,0.922917,8.25,
9,960,1.22,8.0,0.993759,8.75,
9,650,0.69,8.0,0.95625,8.5,
9,650,0.69,8.0,0.95625,8.5,
9,650,0.69,8.0,0.95625,8.5,
9,1240,1.22,8.0,1.0,9.75,
9,1240,1.15,8.0,1.0,9.75,
9,1240,1.15,8.0,1.0,9.75,
9,1240,1.15,8.0,1.0,9.75,
9,1240,1.22,8.0,1.0,9.75,
9,650,0.69,8.0,0.922917,8.25,
10,960,1.22,8.0,0.993759,8.75,
10,650,0.69,8.0,0.95625,8.5,
10,650,0.69,8.0,0.95625,8.5,
10,650,0.69,8.0,0.95625,8.5,
10,1240,1.22,8.0,1.0,9.75,
10,1240,1.15,8.0,1.0,9.75,
10,1240,1.15,8.0,1.0,9.75,
10,1240,1.15,8.0,1.0,9.75,
10,1240,1.22,8.0,1.0,9.75,
10,1240,1.22,8.0,1.0,9.75,
10,1240,1.22,8.0,1.0,9.75,
10,1240,1.15,8.0,1.0,9.75,
10,650,0.69,8.0,0.922917,8.25,
10,650,0.69,8.0,0.922917,8.25,
11,960,1.22,8.0,0.993759,8.75,
11,650,0.69,8.0,0.95625,8.5,
11,650,0.69,8.0,0.95625,8.5,
11,650,0.69,8.0,0.95625,8.5,
11,1240,1.22,8.0,1.0,9.75,
11,1240,1.15,8.0,1.0,9.75,
11,1240,1.15,8.0,1.0,9.75,
11,1240,1.15,8.0,1.0,9.75,
11,1240,1.22,8.0,1.0,9.75,
11,1240,1.22,8.0,1.0,9.75,
11,1240,1.22,8.0,1.0,9.75,
11,1240,1.15,8.0,1.0,9.75,
11,1140,1.1,8.0,1.0,9.75,
11,1240,1.15,8.0,1.0,9.75,
11,650,0.69,8.0,0.922917,8.25,
11,650,0.69,8.0,0.922917,8.25,
12,960,1.22,8.0,0.993759,8.75,
12,650,0.69,8.0,0.95625,8.5,
12,650,0.69,8.0,0.95625,8.5,
12,650,0.69,8.0,0.95625,8.5,
12,650,0.69,8.0,0.95625,8.5,
12,1240,1.22,8.0,1.0,9.75,
12,1240,1.15,8.0,1.0,9.75,
12,1240,1.15,8.0,1.0,9.75,
12,1240,1.15,8.0,1.0,9.75,
12,1240,1.22,8.0,1.0,9.75,
12,1240,1.22,8.0,1.0,9.75,
12,1240,1.22,8.0,1.0,9.75,
12,1240,1.15,8.0,1.0,9.75,
12,1140,1.1,8.0,1.0,9.75,
12,1240,1.15,8.0,1.0,9.75,
12,1240,1.15,8.0,1.0,9.75,
12,1240,1.29,8.0,1.0,9.75,
12,1240,1.15,8.0,1.0,9.75,
12,650,0.69,8.0,0.922917,8.25,
12,650,0.69,8.0,0.922917,8.25,
12,650,0.69,8.0,0.922917,8.25,
13,960,1.22,8.0,0.993759,8.75,
13,650,0.69,8.0,0.95625,8.5,
13,650,0.69,8.0,0.95625,8.5,
13,650,0.69,8.0,0.95625,8.5,
13,650,0.69,8.0,0.95625,8.5,
13,1240,1.22,8.0,1.0,9.75,
13,1240,1.15,8.0,1.0,9.75,
13,1240,1.15,8.0,1.0,9.75,
13,1240,1.15,8.0,1.0,9.75,
13,1240,1.22,8.0,1.0,9.75,
13,1240,1.22,8.0,1.0,9.75,
13,1240,1.22,8.0,1.0,9.75,
13,1240,1.15,8.0,1.0,9.75,
13,1140,1.1,8.0,1.0,9.75,
13,1240,1.15,8.0,1.0,9.75,
13,1240,1.15,8.0,1.0,9.75,
13,1240,1.29,8.0,1.0,9.75,
13,1240,1.15,8.0,1.0,9.75,
13,1340,1.34,8.0,1.0,9.75,
13,1240,1.15,8.0,1.0,9.75,
13,650,0.69,8.0,0.922917,8.25,
13,650,0.69,8.0,0.922917,8.25,
13,650,0.69,8.0,0.922917,8.25,
