generation,schedule,dose,vegfconc,vascular,time,converged_at
1,1680,1.4,8.0,0.15834,99999.0,
2,1680,1.4,8.0,0.15834,99999.0,
2,1680,1.4,8.0,0.15834,99999.0,
3,1650,1.36,8.0,0.324748,99999.0,
4,1050,1.31,8.0,0.841092,9.25,
5,1050,1.31,8.0,0.841092,9.25,
6,1050,1.31,8.0,0.841092,9.25,
6,1100,1.06,8.0,1.0,9.5,
7,1050,1.31,8.0,0.841092,9.25,
7,1050,1.31,8.0,0.841092,9.25,
7,1100,1.06,8.0,1.0,9.5,
7,1000,1.61,8.0,0.769021,8.25,
8,1050,1.31,8.0,0.841092,9.25,
8,1050,1.31,8.0,0.841092,9.25,
8,1100,1.06,8.0,1.0,9.5,
8,1000,1.61,8.0,0.769021,8.25,
9,1100,1.06,8.0,1.0,9.5,
9,1000,1.61,8.0,0.769021,8.25,
9,1050,1.4,8.0,0.982324,8.75,
10,1100,1.06,8.0,1.0,9.5,
10,1000,1.61,8.0,0.769021,8.25,
10,1050,1.4,8.0,0.982324,8.75,
10,1050,1.4,8.0,0.982324,8.75,
11,1100,1.06,8.0,1.0,9.5,
11,1100,1.06,8.0,1.0,9.5,
11,1000,1.61,8.0,0.769021,8.25,
11,1000,1.61,8.0,0.769021,8.25,
11,1050,1.4,8.0,0.982324,8.75,
11,1050,1.4,8.0,0.982324,8.75,
11,1050,1.4,8.0,0.982324,8.75,
11,1050,1.4,8.0,0.982324,8.75,
12,1100,1.06,8.0,1.0,9.5,
12,1100,1.06,8.0,1.0,9.5,
12,1000,1.61,8.0,0.769021,8.25,
12,1000,1.61,8.0,0.769021,8.25,
12,1050,1.4,8.0,0.995838,8.75,
13,1100,1.06,8.0,1.0,9.5,
13,1100,1.06,8.0,1.0,9.5,
13,1100,1.06,8.0,1.0,9.5,
13,1000,1.61,8.0,0.769021,8.25,
13,1000,1.61,8.0,0.769021,8.25,
13,1050,1.4,8.0,0.995838,8.75,
14,1100,1.06,8.0,1.0,9.5,
14,1100,1.06,8.0,1.0,9.5,
14,1100,1.06,8.0,1.0,9.5,
14,1100,1.06,8.0,1.0,9.5,
14,1000,1.61,8.0,0.769021,8.25,
14,1000,1.61,8.0,0.769021,8.25,
14,1050,1.4,8.0,0.995838,8.75,
14,1050,1.4,8.0,0.995838,8.75,
