schedule,dose,vegfconc,vascular,time
960,1.22,8.0,0.993759,8.75
650,0.69,8.0,0.95625,8.5
650,0.69,8.0,0.95625,8.5
650,0.69,8.0,0.95625,8.5
650,0.69,8.0,0.95625,8.5
1240,1.22,8.0,1.0,9.75
1240,1.15,8.0,1.0,9.75
1240,1.15,8.0,1.0,9.75
1240,1.15,8.0,1.0,9.75
1240,1.22,8.0,1.0,9.75
1240,1.22,8.0,1.0,9.75
1240,1.22,8.0,1.0,9.75
1240,1.15,8.0,1.0,9.75
1140,1.1,8.0,1.0,9.75
1240,1.15,8.0,1.0,9.75
1240,1.15,8.0,1.0,9.75
1240,1.29,8.0,1.0,9.75
1240,1.15,8.0,1.0,9.75
1340,1.34,8.0,1.0,9.75
1240,1.15,8.0,1.0,9.75
650,0.69,8.0,0.922917,8.25
650,0.69,8.0,0.922917,8.25
650,0.69,8.0,0.922917,8.25
