generation,schedule,dose,vegfconc,vascular,time,converged_at
1,340,0.17,8.0,0.943863,11.5,
1,3930,0.16,8.0,1.0,14.0,
2,340,0.17,8.0,0.943863,11.5,
2,3930,0.16,8.0,1.0,14.0,
3,340,0.17,8.0,0.943863,11.5,
3,3930,0.16,8.0,1.0,14.0,
3,340,0.1,8.0,1.0,14.0,
4,340,0.17,8.0,0.943863,11.5,
4,340,0.17,8.0,0.943863,11.5,
4,3930,0.16,8.0,1.0,14.0,
4,340,0.1,8.0,1.0,14.0,
4,3930,0.16,8.0,1.0,14.0,
5,340,0.1,8.0,1.0,13.0,
5,340,0.17,8.0,0.997917,11.5,
6,340,0.1,8.0,1.0,13.0,
6,340,0.1,8.0,1.0,13.0,
6,340,0.1,8.0,1.0,13.0,
6,340,0.17,8.0,0.997917,11.5,
7,340,0.17,8.0,0.997917,11.5,
7,340,0.1,8.0,1.0,12.75,
8,340,0.17,8.0,1.0,10.5,
9,340,0.19,8.0,1.0,10.0,
10,340,0.19,8.0,1.0,10.0,
11,340,0.19,8.0,1.0,10.0,
12,340,0.19,8.0,1.0,10.0,
13,340,0.19,8.0,1.0,10.0,
