schedule,dose,vegfconc,vascular,time
450,0.2,8.0,1.0,11.0
300,0.12,8.0,1.0,11.0
450,0.2,8.0,1.0,11.0
300,0.15,8.0,1.0,11.25
300,0.15,8.0,1.0,11.25
300,0.15,8.0,1.0,11.25
300,0.15,8.0,1.0,11.25
300,0.15,8.0,1.0,11.25
300,0.15,8.0,1.0,11.25
300,0.15,8.0,1.0,11.25
300,0.15,8.0,1.0,11.25
500,0.2,8.0,1.0,11.5
500,0.2,8.0,1.0,11.5
500,0.2,8.0,1.0,11.5
500,0.2,8.0,1.0,11.5
300,0.15,8.0,0.994792,11.25
500,0.2,8.0,1.0,11.75
300,0.15,8.0,0.986458,11.25
300,0.15,8.0,0.997917,11.5
300,0.15,8.0,0.997917,11.5
500,0.2,8.0,1.0,11.75
300,0.15,8.0,0.997917,11.5
500,0.2,8.0,1.0,11.75
500,0.2,8.0,1.0,11.75
