schedule,dose,vegfconc,vascular,time
1440,0.19,8.0,1.0,15.75
1440,0.19,8.0,1.0,15.75
1080,0.13,8.0,1.0,16.0
1340,0.19,8.0,1.0,16.0
1340,0.19,8.0,1.0,16.0
1340,0.19,8.0,1.0,16.0
1080,0.13,8.0,1.0,16.0
1340,0.19,8.0,1.0,16.0
1240,0.2,8.0,1.0,16.5
1440,0.19,8.0,1.0,16.5
1240,0.2,8.0,1.0,16.5
1080,0.19,8.0,1.0,16.5
1240,0.2,8.0,1.0,16.5
1240,0.2,8.0,1.0,16.5
1080,0.19,8.0,1.0,16.5
1240,0.2,8.0,1.0,16.5
1240,0.2,8.0,1.0,16.5
1240,0.2,8.0,1.0,16.5
1240,0.2,8.0,1.0,16.5
1440,0.19,8.0,1.0,16.75
1340,0.19,8.0,1.0,16.75
5590,0.13,8.0,1.0,16.75
5590,0.13,8.0,1.0,16.75
1340,0.19,8.0,1.0,16.75

