generation,schedule,dose,vegfconc,vascular,time,converged_at
1,500,0.15,8.0,1.0,13.25,
2,500,0.15,8.0,1.0,13.25,
2,600,0.18,8.0,1.0,13.25,
3,500,0.15,8.0,1.0,13.25,
3,600,0.18,8.0,1.0,13.25,
3,500,0.15,8.0,1.0,13.25,
4,500,0.2,8.0,1.0,11.5,
5,500,0.2,8.0,1.0,11.5,
6,500,0.2,8.0,1.0,11.5,
7,500,0.2,8.0,1.0,11.5,
8,500,0.2,8.0,1.0,11.5,
8,500,0.2,8.0,1.0,11.5,
9,300,0.15,8.0,1.0,11.25,
9,300,0.15,8.0,1.0,11.25,
10,300,0.15,8.0,1.0,11.25,
10,300,0.15,8.0,1.0,11.25,
10,300,0.15,8.0,1.0,11.25,
11,300,0.15,8.0,1.0,11.25,
11,300,0.15,8.0,1.0,11.25,
11,300,0.15,8.0,1.0,11.25,
11,300,0.15,8.0,1.0,11.25,
11,300,0.15,8.0,1.0,11.25,
12,450,0.2,8.0,1.0,11.0,
13,450,0.2,8.0,1.0,11.0,
13,300,0.12,8.0,1.0,11.0,
14,450,0.2,8.0,1.0,11.0,
14,300,0.12,8.0,1.0,11.0,
14,450,0.2,8.0,1.0,11.0,
