schedule,dose,vegfconc,vascular,time
510,0.18,8.0,1.0,12.0
510,0.18,8.0,1.0,12.0
510,0.18,8.0,1.0,12.0
510,0.18,8.0,1.0,12.0
510,0.18,8.0,1.0,12.25
510,0.18,8.0,1.0,12.25
510,0.18,8.0,1.0,12.25
510,0.18,8.0,1.0,12.5
510,0.18,8.0,1.0,12.5
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,12.75
510,0.16,8.0,1.0,13.0
510,0.16,8.0,1.0,13.0
510,0.16,8.0,1.0,13.0
510,0.16,8.0,1.0,13.0
