filename,schedule,dose,gradient,vegf_level,VconcST,Vconc,run,hours,drug_tumour_nM,drug_gut_mgL,drug_blood_mgL,drug_blood_nM,vasc_score,vegfr_inhibition,dll4_average
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5787.19
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,183.144
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5686.75
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,175.778
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,5818.99
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,183.654
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,5539.83
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,187.776
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,5611.82
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,180.294
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,5750.57
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,186.777
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,3.25,0.0,0.0,0.0,0.0,0.00160807,0.0,5792.01
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,181.067
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,3.75,0.0,0.0,0.0,0.0,0.00181424,0.0,5795.43
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,188.292
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,4.25,0.0,0.0,0.0,0.0,0.00164931,0.0,5784.47
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,183.964
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,5907.73
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,5.0,62.29,800.0,0.02426,62.29,0.0,0.0,180.671
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,5.25,3754.75,784.145,1.46236,3754.75,0.0,0.997839,9.6615
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,5.5,7360.03,768.604,2.8665,7360.03,0.0,0.998905,4.48388
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,5.75,10879.9,753.371,4.23739,10879.9,0.0,0.999261,2.95432
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,6.0,14316.1,738.44,5.57569,14316.1,0.0,0.999439,2.20558
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,6.25,17670.4,723.805,6.88207,17670.4,0.0,0.999546,1.78203
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,6.5,20944.4,709.46,8.15719,20944.4,0.0,0.999617,1.48946
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,6.75,24139.7,695.4,9.40168,24139.7,0.0,0.999668,1.28857
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,7.0,27258.1,681.618,10.6162,27258.1,0.0,0.999706,1.13877
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,7.25,30301.0,668.109,11.8013,30301.0,0.0,0.999736,1.01938
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,7.5,33270.0,654.868,12.9576,33270.0,0.0,0.999759,0.926602
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,7.75,36166.6,641.889,14.0858,36166.6,0.0,0.999779,0.852622
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,8.0,38992.4,629.168,15.1863,38992.4,0.0,0.999795,0.787455
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,8.25,41748.7,616.698,16.2598,41748.7,0.0,0.999808,0.734795
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,8.5,44437.0,604.476,17.3068,44437.0,0.0,0.99982,0.690439
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,8.75,47058.6,592.496,18.3279,47058.6,0.0,0.99983,0.651494
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,9.0,49615.1,580.753,19.3235,49615.1,0.0,0.999839,0.617615
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,9.25,52107.7,569.244,20.2943,52107.7,0.0,0.999846,0.586976
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,9.5,54537.6,557.962,21.2407,54537.6,0.0,0.999853,0.561652
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,9.75,56906.3,546.904,22.1632,56906.3,0.0,0.999859,0.537018
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,10.0,59277.2,1336.07,23.0866,59277.2,0.0,0.999865,0.518562
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,10.25,65219.6,1309.59,25.401,65219.6,0.0,0.999877,0.472365
1200_dose_800_gradient_0_VconcST_0.04_Vconc_2.4_run_0.csv,1200.0,800.0,0,2.4,0.04,2.4,0,10.5,71017.2,1283.63,27.659,71017.2,0.0,0.999887,0.433256
